port,protocolo,estado,flags
236,tcp,filtrado,
236,udp,filtrado,
237,tcp,cerrado,
237,udp,abierto|filtrado,
238,tcp,cerrado,
238,udp,abierto|filtrado,
239,tcp,cerrado,
239,udp,filtrado,
240,tcp,filtrado,
240,udp,filtrado,
241,tcp,filtrado,
241,udp,filtrado,
242,tcp,cerrado,
242,udp,abierto|filtrado,
243,tcp,cerrado,
243,udp,abierto|filtrado,
244,tcp,cerrado,
244,udp,filtrado,
245,tcp,filtrado,
245,udp,filtrado,
246,tcp,filtrado,
246,udp,filtrado,
247,tcp,cerrado,
247,udp,abierto|filtrado,
248,tcp,cerrado,
248,udp,abierto|filtrado,
249,tcp,cerrado,
249,udp,filtrado,
250,tcp,filtrado,
250,udp,filtrado,
251,tcp,filtrado,
251,udp,filtrado,
252,tcp,cerrado,
252,udp,abierto|filtrado,
253,tcp,cerrado,
253,udp,abierto|filtrado,
254,tcp,cerrado,
254,udp,filtrado,
255,tcp,filtrado,
255,udp,filtrado,
256,tcp,filtrado,
256,udp,filtrado,
257,tcp,cerrado,
257,udp,abierto|filtrado,
258,tcp,cerrado,
258,udp,abierto|filtrado,
259,tcp,cerrado,
259,udp,filtrado,
260,tcp,filtrado,
260,udp,filtrado,
261,tcp,filtrado,
261,udp,filtrado,
262,tcp,cerrado,
262,udp,abierto|filtrado,
263,tcp,cerrado,
263,udp,abierto|filtrado,
264,tcp,cerrado,
264,udp,filtrado,
265,tcp,filtrado,
265,udp,filtrado,
266,tcp,filtrado,
266,udp,filtrado,
267,tcp,cerrado,
267,udp,abierto|filtrado,
268,tcp,cerrado,
268,udp,abierto|filtrado,
269,tcp,cerrado,
269,udp,filtrado,
270,tcp,filtrado,
270,udp,filtrado,
271,tcp,filtrado,
271,udp,filtrado,
272,tcp,cerrado,
272,udp,abierto|filtrado,
273,tcp,cerrado,
273,udp,abierto|filtrado,
274,tcp,cerrado,
274,udp,filtrado,
275,tcp,filtrado,
275,udp,filtrado,
276,tcp,filtrado,
276,udp,filtrado,
277,tcp,cerrado,
277,udp,abierto|filtrado,
278,tcp,cerrado,
278,udp,abierto|filtrado,
279,tcp,filtrado,
279,udp,filtrado,
280,tcp,cerrado,
280,udp,abierto|filtrado,
281,tcp,cerrado,
281,udp,abierto|filtrado,
282,tcp,cerrado,
282,udp,filtrado,
283,tcp,filtrado,
283,udp,filtrado,
284,tcp,filtrado,
284,udp,filtrado,
285,tcp,cerrado,
285,udp,abierto|filtrado,
286,tcp,cerrado,
286,udp,abierto|filtrado,
287,tcp,cerrado,
287,udp,filtrado,
288,tcp,filtrado,
288,udp,filtrado,
289,tcp,filtrado,
289,udp,filtrado,
290,tcp,cerrado,
290,udp,abierto|filtrado,
291,tcp,cerrado,
291,udp,abierto|filtrado,
292,tcp,cerrado,
292,udp,filtrado,
293,tcp,filtrado,
293,udp,filtrado,
294,tcp,filtrado,
294,udp,filtrado,
295,tcp,cerrado,
295,udp,abierto|filtrado,
296,tcp,cerrado,
296,udp,abierto|filtrado,
297,tcp,cerrado,
297,udp,filtrado,
298,tcp,filtrado,
298,udp,filtrado,
299,tcp,filtrado,
299,udp,abierto|filtrado,
300,tcp,cerrado,
300,udp,filtrado,
301,tcp,filtrado,
301,udp,filtrado,
302,tcp,filtrado,
302,udp,filtrado,
303,tcp,cerrado,
303,udp,abierto|filtrado,
304,tcp,cerrado,
304,udp,abierto|filtrado,
305,tcp,cerrado,
305,udp,filtrado,
306,tcp,filtrado,
306,udp,filtrado,
307,tcp,filtrado,
307,udp,filtrado,
308,tcp,cerrado,
308,udp,abierto|filtrado,
309,tcp,cerrado,
309,udp,abierto|filtrado,
310,tcp,cerrado,
310,udp,filtrado,
311,tcp,filtrado,
311,udp,filtrado,
312,tcp,filtrado,
312,udp,filtrado,
313,tcp,cerrado,
313,udp,abierto|filtrado,
314,tcp,cerrado,
314,udp,abierto|filtrado,
315,tcp,cerrado,
315,udp,filtrado,
316,tcp,filtrado,
316,udp,filtrado,
317,tcp,filtrado,
317,udp,filtrado,
318,tcp,cerrado,
318,udp,abierto|filtrado,
319,tcp,cerrado,
319,udp,abierto|filtrado,
320,tcp,cerrado,
320,udp,filtrado,
321,tcp,filtrado,
321,udp,filtrado,
322,tcp,filtrado,
322,udp,filtrado,
323,tcp,cerrado,
323,udp,abierto|filtrado,
324,tcp,cerrado,
324,udp,abierto|filtrado,
325,tcp,cerrado,
325,udp,filtrado,
326,tcp,filtrado,
326,udp,filtrado,
327,tcp,filtrado,
327,udp,filtrado,
328,tcp,cerrado,
328,udp,abierto|filtrado,
329,tcp,filtrado,
329,udp,filtrado,
330,tcp,filtrado,
330,udp,filtrado,
331,tcp,cerrado,
331,udp,abierto|filtrado,
332,tcp,cerrado,
332,udp,abierto|filtrado,
333,tcp,cerrado,
333,udp,filtrado,
334,tcp,filtrado,
334,udp,filtrado,
335,tcp,filtrado,
335,udp,filtrado,
336,tcp,cerrado,
336,udp,abierto|filtrado,
337,tcp,cerrado,
337,udp,abierto|filtrado,
338,tcp,cerrado,
338,udp,filtrado,
339,tcp,filtrado,
339,udp,filtrado,
340,tcp,filtrado,
340,udp,filtrado,
341,tcp,cerrado,
341,udp,abierto|filtrado,
342,tcp,cerrado,
342,udp,abierto|filtrado,
343,tcp,cerrado,
343,udp,filtrado,
344,tcp,filtrado,
344,udp,filtrado,
345,tcp,filtrado,
345,udp,filtrado,
346,tcp,cerrado,
346,udp,abierto|filtrado,
347,tcp,cerrado,
347,udp,abierto|filtrado,
348,tcp,cerrado,
348,udp,filtrado,
349,tcp,filtrado,
349,udp,filtrado,
350,tcp,filtrado,
350,udp,filtrado,
351,tcp,cerrado,
351,udp,abierto|filtrado,
352,tcp,cerrado,
352,udp,abierto|filtrado,
353,tcp,cerrado,
353,udp,filtrado,
354,tcp,filtrado,
354,udp,filtrado,
355,tcp,filtrado,
355,udp,filtrado,
356,tcp,cerrado,
356,udp,abierto|filtrado,
357,tcp,cerrado,
357,udp,abierto|filtrado,
358,tcp,cerrado,
358,udp,filtrado,
359,tcp,filtrado,
359,udp,filtrado,
360,tcp,filtrado,
360,udp,filtrado,
361,tcp,cerrado,
361,udp,abierto|filtrado,
362,tcp,cerrado,
362,udp,abierto|filtrado,
363,tcp,cerrado,
363,udp,filtrado,
364,tcp,filtrado,
364,udp,filtrado,
365,tcp,filtrado,
365,udp,filtrado,
366,tcp,cerrado,
366,udp,abierto|filtrado,
367,tcp,filtrado,
367,udp,filtrado,
368,tcp,filtrado,
368,udp,filtrado,
369,tcp,cerrado,
369,udp,abierto|filtrado,
370,tcp,cerrado,
370,udp,abierto|filtrado,
371,tcp,cerrado,
371,udp,filtrado,
372,tcp,filtrado,
372,udp,abierto|filtrado,
373,tcp,cerrado,
373,udp,abierto|filtrado,
374,tcp,cerrado,
374,udp,filtrado,
375,tcp,filtrado,
375,udp,filtrado,
376,tcp,filtrado,
376,udp,filtrado,
377,tcp,cerrado,
377,udp,abierto|filtrado,
378,tcp,cerrado,
378,udp,abierto|filtrado,
379,tcp,cerrado,
379,udp,filtrado,
380,tcp,filtrado,
380,udp,filtrado,
381,tcp,filtrado,
381,udp,filtrado,
382,tcp,cerrado,
382,udp,abierto|filtrado,
383,tcp,cerrado,
383,udp,abierto|filtrado,
384,tcp,cerrado,
384,udp,filtrado,
385,tcp,filtrado,
385,udp,filtrado,
386,tcp,filtrado,
386,udp,filtrado,
387,tcp,cerrado,
387,udp,abierto|filtrado,
388,tcp,cerrado,
388,udp,abierto|filtrado,
389,tcp,cerrado,
389,udp,filtrado,
390,tcp,filtrado,
390,udp,filtrado,
391,tcp,filtrado,
391,udp,filtrado,
392,tcp,cerrado,
392,udp,abierto|filtrado,
393,tcp,cerrado,
393,udp,abierto|filtrado,
394,tcp,cerrado,
394,udp,filtrado,
395,tcp,filtrado,
395,udp,filtrado,
396,tcp,filtrado,
396,udp,filtrado,
397,tcp,cerrado,
397,udp,abierto|filtrado,
398,tcp,cerrado,
398,udp,abierto|filtrado,
399,tcp,cerrado,
399,udp,filtrado,
400,tcp,filtrado,
400,udp,filtrado,
401,tcp,filtrado,
401,udp,filtrado,
402,tcp,cerrado,
402,udp,abierto|filtrado,
403,tcp,cerrado,
403,udp,abierto|filtrado,
404,tcp,cerrado,
404,udp,filtrado,
405,tcp,filtrado,
405,udp,filtrado,
406,tcp,filtrado,
406,udp,filtrado,
407,tcp,cerrado,
407,udp,abierto|filtrado,
408,tcp,cerrado,
